name,symbol,logoUrl
A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,A1CAP,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/A1CAP.png
ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,ACSEL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ACSEL.png
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,ADEL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ADEL.png
ADESE GAYRİMENKUL YATIRIM A.Ş.,ADESE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ADESE.png
ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ADGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ADGYO.png
ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,AEFES,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AEFES.png
AFYON ÇİMENTO SANAYİ T.A.Ş.,AFYON,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AFYON.png
AGESA HAYAT VE EMEKLİLİK A.Ş.,AGESA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AGESA.png
AG ANADOLU GRUBU HOLDİNG A.Ş.,AGHOL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AGHOL.png
ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AGYO.png
AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,AHGAZ,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AHGAZ.png
AKBANK T.A.Ş.,AKBNK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKBNK.png
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,AKCNS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKCNS.png
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,AKENR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKENR.png
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKFGY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKFGY.png
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,AKFYE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKFYE.png
AKSİGORTA A.Ş.,AKGRT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKGRT.png
AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKMGY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKMGY.png
AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,AKSA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKSA.png
AKSA ENERJİ ÜRETİM A.Ş.,AKSEN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKSEN.png
AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKSGY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKSGY.png
AKSU ENERJİ VE TİCARET A.Ş.,AKSUE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKSUE.png
AKDENİZ YATIRIM HOLDİNG A.Ş.,AKYHO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AKYHO.png
ALARKO HOLDİNG A.Ş.,ALARK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALARK.png
ALBARAKA TÜRK KATILIM BANKASI A.Ş.,ALBRK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALBRK.png
ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,ALCAR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALCAR.png
ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,ALCTL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALCTL.png
ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ALFAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALFAS.png
ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ALGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALGYO.png
ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,ALKA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALKA.png
ALKİM ALKALİ KİMYA A.Ş.,ALKIM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALKIM.png
ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,ALMAD,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ALMAD.png
ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,ANELE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ANELE.png
ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,ANGEN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ANGEN.png
ANADOLU HAYAT EMEKLİLİK A.Ş.,ANHYT,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ANHYT.png
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,ANSGR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ANSGR.png
DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,ARASE,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARASE.png
ARÇELİK A.Ş.,ARCLK,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARCLK.png
ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ARDYZ,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARDYZ.png
ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,ARENA,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARENA.png
ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,ARSAN,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARSAN.png
ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,ARZUM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ARZUM.png
ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ASELS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ASELS.png
ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ASGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ASGYO.png
ASTOR ENERJİ A.Ş.,ASTOR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ASTOR.png
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,ASUZU,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ASUZU.png
ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ATAGY,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATAGY.png
ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,ATAKP,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATAKP.png
ATP YAZILIM VE TEKNOLOJİ A.Ş.,ATATP,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATATP.png
AKIN TEKSTİL A.Ş.,ATEKS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATEKS.png
ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,ATLAS,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATLAS.png
ATLANTİS YATIRIM HOLDİNG A.Ş.,ATSYH,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/ATSYH.png
AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AVGYO,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVGYO.png
AVRUPA YATIRIM HOLDİNG A.Ş.,AVHOL,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVHOL.png
A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,AVOD,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVOD.png
AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,AVTUR,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AVTUR.png
ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,AYCES,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYCES.png
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,AYDEM,https://cdn.jsdelivr.net/gh/ahmeterenodaci/Istanbul-Stock-Exchange--BIST--including-symbols-and-logos/logos/AYDEM.png
