name,symbol
A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,A1CAP
ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,ACSEL
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,ADEL
ADESE GAYRİMENKUL YATIRIM A.Ş.,ADESE
ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ADGYO
ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,AEFES
AFYON ÇİMENTO SANAYİ T.A.Ş.,AFYON
AGESA HAYAT VE EMEKLİLİK A.Ş.,AGESA
AG ANADOLU GRUBU HOLDİNG A.Ş.,AGHOL
ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AGYO
AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,AHGAZ
AKBANK T.A.Ş.,AKBNK
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,AKCNS
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,AKENR
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKFGY
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,AKFYE
AKSİGORTA A.Ş.,AKGRT
AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKMGY
AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,AKSA
AKSA ENERJİ ÜRETİM A.Ş.,AKSEN
AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AKSGY
AKSU ENERJİ VE TİCARET A.Ş.,AKSUE
AKDENİZ YATIRIM HOLDİNG A.Ş.,AKYHO
ALARKO HOLDİNG A.Ş.,ALARK
ALBARAKA TÜRK KATILIM BANKASI A.Ş.,ALBRK
ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,ALCAR
ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,ALCTL
ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,ALFAS
ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ALGYO
ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,ALKA
ALKİM ALKALİ KİMYA A.Ş.,ALKIM
ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,ALMAD
ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,ANELE
ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,ANGEN
ANADOLU HAYAT EMEKLİLİK A.Ş.,ANHYT
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,ANSGR
DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,ARASE
ARÇELİK A.Ş.,ARCLK
ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,ARDYZ
ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,ARENA
ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,ARSAN
ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,ARZUM
ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,ASELS
ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ASGYO
ASTOR ENERJİ A.Ş.,ASTOR
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,ASUZU
ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ATAGY
ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,ATAKP
ATP YAZILIM VE TEKNOLOJİ A.Ş.,ATATP
AKIN TEKSTİL A.Ş.,ATEKS
ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,ATLAS
ATLANTİS YATIRIM HOLDİNG A.Ş.,ATSYH
AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,AVGYO
AVRUPA YATIRIM HOLDİNG A.Ş.,AVHOL
A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,AVOD
AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,AVTUR
ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,AYCES
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,AYDEM
AYEN ENERJİ A.Ş.,AYEN
AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,AYES
AYGAZ A.Ş.,AYGAZ
AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,AZTEK
BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,BAGFS
BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,BAKAB
BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,BALAT
BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,BANVT
BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,BARMA
BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,BASCM
BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BASGZ
BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,BAYRK
BERA HOLDİNG A.Ş.,BERA
BEYAZ FİLO OTO KİRALAMA A.Ş.,BEYAZ
BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,BFREN
BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,BIENY
BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,BIGCH
BİM BİRLEŞİK MAĞAZALAR A.Ş.,BIMAS
BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,BIOEN
BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,BIZIM
BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,BLCYT
BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,BMSCH
BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,BMSTL
BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,BNTAS
BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,BOBET
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,BOSSA
BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,BRISA
BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,BRKO
BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,BRKSN
BİRİKİM VARLIK YÖNETİM A.Ş.,BRKVY
BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,BRLSM
BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,BRMEN
BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,BRSAN
BORUSAN YATIRIM VE PAZARLAMA A.Ş.,BRYAT
BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,BSOKE
BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,BTCIM
BURSA ÇİMENTO FABRİKASI A.Ş.,BUCIM
BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURCE
BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURVA
BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,BVSAN
BAYDÖNER RESTORANLARI A.Ş.,BYDNR
ÇAN2 TERMİK A.Ş.,CANTE
CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,CASA
COCA-COLA İÇECEK A.Ş.,CCOLA
ÇELİK HALAT VE TEL SANAYİİ A.Ş.,CELHA
ÇEMAŞ DÖKÜM SANAYİ A.Ş.,CEMAS
ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,CEMTS
CEO EVENT MEDYA A.Ş.,CEOEM
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,CIMSA
ÇELEBİ HAVA SERVİSİ A.Ş.,CLEBI
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,CMBTN
ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,CMENT
